Country ID,Country,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GHG total without LULUCF, latest year",% change since 1990,"GHG emissions per capita,
 latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent
352,Iceland,"3,732.87","3,516.77","3,428.21","3,516.12","3,434.54","3,551.04","3,609.56","3,776.82","3,922.02","4,147.96","4,171.05","4,061.52","4,153.12","4,112.70","4,211.34","4,059.46","4,648.29","4,947.06","5,342.91","5,005.60","4,928.92","4,680.96","4,683.54","4,688.54","4,722.10","4,799.81","4,754.60","4,835.51","4,856.95",2018,4856.95,30.11,14.42
356,India,...,...,...,...,"12,14,248.00",...,...,...,...,...,"15,23,766.56",...,...,...,...,...,...,...,...,...,"21,00,849.73",...,...,...,...,...,...,...,...,2010,2100849.73,...,1.70
360,Indonesia,"2,66,818.39","2,92,610.40","3,06,828.59","3,18,657.49","3,34,191.21",...,...,...,...,...,"5,54,333.48",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,554333.48,107.76,2.62
364,Iran (Islamic Republic of),...,...,...,...,"3,85,433.30",...,...,...,...,...,"4,83,669.17",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,483669.17,...,7.37
368,Iraq,...,...,...,...,...,...,...,"72,658.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1997,72658.00,...,3.39
372,Ireland,"55,468.30","56,146.92","56,013.36","56,416.31","57,760.82","59,164.25","61,234.15","62,565.16","65,031.48","66,174.54","68,314.28","70,221.21","68,244.22","68,550.02","67,990.21","69,702.11","68,825.59","68,042.03","67,490.64","61,736.43","61,277.54","57,156.86","57,752.70","57,589.73","57,325.32","59,415.93","61,491.44","61,004.88","60,934.54",2018,60934.54,9.85,12.65
376,Israel,...,...,...,...,...,...,"57,653.40",...,...,...,"67,162.86",...,...,"69,900.28","70,223.70","70,784.48","72,125.21","75,367.21","76,733.41","72,892.51","75,738.28","77,881.67","83,821.96","78,272.45","76,032.39","79,163.87","79,049.45","78,034.61","78,697.77",2018,78697.77,...,9.39
380,Italy,"5,16,051.74","5,17,107.00","5,16,117.31","5,09,104.90","5,03,368.55","5,29,435.48","5,23,538.23","5,31,260.38","5,43,481.19","5,48,740.28","5,52,474.43","5,54,029.53","5,60,213.53","5,79,418.02","5,85,375.66","5,86,529.47","5,76,602.67","5,69,689.77","5,57,101.80","5,02,603.75","5,13,756.38","5,01,288.05","4,82,361.63","4,47,072.72","4,26,491.71","4,39,431.75","4,36,088.45","4,31,324.46","4,27,529.02",2018,427529.02,-17.15,7.05
388,Jamaica,...,...,...,...,"1,16,314.20",...,...,...,...,...,...,...,...,...,...,...,"15,966.00","15,762.05","18,465.11","15,533.79","14,866.26",...,"14,918.49",...,...,...,...,...,...,2012,14918.49,...,5.25
392,Japan,"12,70,039.97","12,84,001.18","12,96,664.52","12,89,105.60","13,53,440.83","13,74,505.10","13,86,969.52","13,79,301.65","13,30,779.96","13,54,370.00","13,74,774.03","13,49,333.28","13,73,167.46","13,79,116.92","13,71,688.86","13,78,770.81","13,57,162.21","13,93,190.47","13,21,204.29","12,48,422.29","13,02,549.97","13,53,603.93","13,96,323.77","14,07,809.07","13,58,344.55","13,19,800.19","13,02,842.08","12,89,239.53","12,38,342.71",2018,1238342.71,-2.50,9.74
