CountryID,Country and area,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
826,United Kingdom,9276,9318,9158,8828,8716,8202,8511,7884,8092,7984,7525,7592,7492,7353
834,United Rep. of Tanzania,623,649,665,657,691,699,719,739,769,794,808,828,839,855
840,United States,96775,97271,96364,98063,95547,90816,92899,91716,89903,91401,92524,91418,90451,90228
858,Uruguay,123,126,135,133,182,182,173,189,202,197,199,213,217,217
860,Uzbekistan,2197,2046,2093,2077,2163,1847,1806,1980,2025,1872,1771,1740,1799,1880
548,Vanuatu,2,2,2,2,2,3,3,3,3,3,3,3,3,3
862,Venezuela (Bolivar. Rep.),2572,2737,2781,2601,2826,2828,3087,2744,2974,2794,2734,2472,2297,2064
704,Viet Nam,1697,1756,1819,1926,2076,2175,2334,2463,2458,2532,2757,3033,3034,2980
887,Yemen,257,274,294,287,303,336,326,276,250,344,335,180,145,142
894,Zambia,296,305,314,316,328,337,348,366,383,398,418,433,471,501
716,Zimbabwe,395,414,415,410,384,362,395,417,402,455,465,473,467,474
